,Content,QUALITY,SMELL,SHIPPING,PACKING,PRICE,OTHERS
0,"Sp dùng khá tốt, vì tạo bọt nên cảm giác da mặt sạch và không quá khô sau khi rửa.Chỉ có điều là không phù hợp với những bạn da dầu và mụn như mình lắm", Neutral,,,,,
1,sửa rửa mặt dùng rất tốt. giao hàng nhanh, Positive,, Positive,,,
2,Sữa dưỡng ẩm da ở mức trung bình, Neutral,,,,,
3,Mùi srm này mk k thích lắm tuy nhiên thù rửa k bị rít và cx k quá nhờn. Cũng ok nha, Neutral,,,,,
4,Ko bjo mua của shop này nữa. Kinh doanh mà gian lận,,,,,, Negative
5,"Ko thik sp lắm, 2 tuýp nhưng có 1 tuýp có vẻ lượng ít hơn tuýp còn lại.",,,,,, Negative
6,"Lần đầu mới sử dụng chưa quen mùi  ,giao hàng nhanh",,, Positive,,, Neutral
7,"sản phẩm thì tốt mà đóng sản phẩm thì k được tốt ,k có mút xốp bao bọc ở ngoài", Positive,,, Negative,,
8,Không rửa sạch bụi bẩn gì cả, Negative,,,,,
9,k thích mùi của sp nèy cho lắm,, Negative,,,,
10,"đóng gói hàng hơi sơ sài, trong cùng thành phố nhưng 7 ngày mới được nhận hàng. Hàng thì ok",,, Negative, Negative,,
11,da dầu xài ok k bị kích ứng và lên mụn, Neutral,,,,,
12,đẹp nhưng chất lượng phải đợi mấy tháng nữa,,,,,, Neutral
13,Đóng gói kĩ mà sao kg thấy quà tặng,,,, Positive,, Negative
14,K kích ứng, Neutral,,,,,
15,"nếu nhà bạn là khu nước mặn,  nước phèn thì k nên dùng vì sẽ bị nhờn.", Negative,,,,,
16,"Sạch,tốt", Neutral,,,,,
17,Xài êm. Tác dụng làm trắng thì không có., Neutral,,,,,
18,"mùi hơi nồng, cảm giác sạch  nhưng hơi khô da.", Neutral, Negative,,,,
19,Gói hàng ki cẩn thận. Giao lâu,,, Negative, Positive,,
20,thấy hộp khá nhẹ,,,,,, Neutral
21,sản phẩm ok. chỉ làm sạch da đơn thuần, Neutral,,,,,
22,mới dùng....chưa biết thế nào.,,,,,, Neutral
23,"đóng gói sơ sài, hộp móp méo",,,, Negative,,
24,"sữa rửa mặt ổn, mùi hơi khó chịu", Neutral, Negative,,,,
25,bị xẹp vỏ,,,,,, Negative
26,"sản phẩm giao nhanh, hàng đóng gói chắc chắn",,, Positive, Positive,,
27,"Tốt, sữa rửa mặt tạo nhiều bọt", Positive,,,,,
28,Đóng hàng cẩu thả một cách quá đáng.hộp méo dệch tung toé.dán cũng k nên lóc cả băng dính.chẳng lẽ đặt  rồi mà trả lại. quá tồi. nửa sao cũng k cho.,,,, Negative,,
29,"Hàng chính hãng, mẫu mới, date xa tới tận 2016",,,,,, Positive
30,"giao hàng rất nhanh, rât hài lòng, cảm ơn tiki",,, Positive,,, Positive
31,"Hàng thật,ko kích ứng,.v.v.", Neutral,,,,,
32,Kêu mua được km mà không thấy tặng chai đâu,,,,,, Negative
33,Làm gì có chai sữa tắm nào đâu ?,,,,,, Negative
34,"lọ sữa rửa mặt ở ngoài lớn hơn mình nghĩ, có mùi nhẹ nhàng, bọt cũng vừa phải, rửa xong thì mặt sạch bong cơ mà đỡ hơn các dòng bên senka xíu, nên ai muốn rửa xong mà mặt còn độ ẩm thì nên lưu ý. tiki giao đến sản phẩm còn mới tinh và có tem dán ở nắp chai để đảm bảo là chưa dùng nên cũng rất yên tâm ạ. thanks tiki", Neutral, Positive,,,,
35,"Một combo Hatomugi, không biết còn gì nữa để mua ko, sẽ tiếp tục dùng sản phẩm này. Da láng mịn, mềm, thơm, đặc biệt là vào mùa khô này rất thích.", Positive, Positive,,,,
36,Hàng đúng made in Japan . Tiki giao hàng nhanh . Đóng gói cẩn thận lắm. Sp thì đúng quảng cáo,,, Positive, Positive,, Positive
37,Nhận đầy đủ hàng r ạaa ship siêu nhanh luôn ý mới đặt tối hôm kia mà h đã ship đến rồi😍,,, Positive,,, Positive
38,"Tuy chưa sử dụng thử nhưng cũng cứ cho 5 sao vì giao hàng khá nhanh, ngoài mong đợi. Sản phẩm giống với hình mô tả. Sau khi sử dụng nếu tốt và hợp với da sẽ ủng hộ tiếp. Nhân viên giao hàng OK",,, Positive,,, Positive
39,"Tip lớn, giá rẻ, chưa saig nên chưa biết sao, giao nhanh cực",,, Positive,, Positive, Positive
40,"giá rẻ hơn bên ngoài, tiki ship nhanh. đặt chiều hôm trc thì sáng hôm sau đã giao. mua 2 lọ còn đc giảm thêm 20k nữa",,, Positive,, Positive,
41,"Sua rua mat rat tot, diu nhe cho da nhay cam , gia ca hop li , thanks all", Positive,,,, Neutral,
42,"Mua về chưa dùng nên chưa biết chất lượng thế nào. Đóng gói cẩn thận, nhà đang thiếu sữa rửa mặt  lại có xu nên mua đc giá khẩ rẻ, sẽ sử dụng thường xuyên",,,, Positive, Positive,
43,"Gói giao hàng TikiNow giao cực nhanh. Chỉ tầm 60' sau đã giao. Hàng bao gói cực kỳ kĩ càng.
Sữa rửa mặt vừa tiền nhưng dùng rất thích", Positive,, Positive, Positive, Neutral,
44,"Dòng này của nhật sài tốt, rửa rạch, không bị khô da. Đã từng sài chai màu trắng nay chuyển qa chai xanh. Chai nào sài cũng ok hết", Positive,,,,,
45,"Giá rẻ mà chất lượng tốt. Tui da dầu nên rửa thấy sạch, dễ chịu lắm. Ko gây kích ứng gì luôn ", Positive,,,, Positive,
46,"Sản Phẩm tốt, giao hàng trễ hơn 1 tháng do dịch bệnh, hộp đựng sản phẩm nát như tương.", Positive,, Neutral, Negative,,
47,"Sản phẩm rất tốt,dung duoc 1tuần thấy da sạch va mềm,rất hài lòng", Positive,,,,,
