,Content,quality,smell,shipping,packing,price,others,processed_content
6032,chất lượng 10 điểm luôn á không mua shop nào mà ưng ý như bên shop sẽ mua thêm,2.0,,,,,,chất_lượng 10 điểm luôn á không mua shop nào mà ưng_ý như bên shop sẽ mua thêm
3872,đóng gói cẩn thận giao hàng nhanh chóng dưỡng ẩm tốt mùa đông k sợ bị nẻ tốt trong tầm giá dưỡng ẩm thuần thoi với mức già này thì ko mong chờ nhiều quá dc đâu ạ,2.0,,2.0,2.0,,,đóng_gói cẩn_thận giao hàng nhanh_chóng dưỡng ẩm tốt mùa đông k sợ bị nẻ tốt trong tầm giá dưỡng ẩm thuần thoi với mức già này thì ko mong_chờ nhiều quá dc đâu ạ
10392,dùng khá ổn da k bị căng chai nhỏ thôi nha nng,2.0,,,,,,dùng khá ổn da k bị căng chai nhỏ thôi nha nng
8913,bị kích ứng nỗi mụn nhiều hơn trước khi sử dụng,0.0,,,,,,bị kích_ứng nỗi mụn nhiều hơn trước khi sử_dụng
2620,đặt lần đầu 20 ngày vẫn ko thấy hàng hủy đặt lại giao nhanh ko biết do bên giao hàng hay do shop những vẫn đánh 5* cho shop lần sau ủng hộ nhớ giao hàng nhanh là ok,,,2.0,,,,đặt lần đầu 20 ngày vẫn ko thấy hàng huỷ đặt lại giao nhanh ko biết do bên giao hàng hay do shop những vẫn đánh 5 cho shop lần sau ủng_hộ nhớ giao hàng nhanh là ok
9470,chất lượng sản phẩm tuyệt vời đóng gói hàng đẹp và chắc chắn giao hàng nhanh đã sử dụng nhiều lần k chê vào đâu đc sẽ tiếp tục ủng hộ,2.0,,2.0,2.0,,,chất_lượng sản_phẩm tuyệt_vời đóng_gói hàng đẹp và chắc_chắn giao hàng nhanh đã sử_dụng nhiều lần k chê vào đâu đc sẽ tiếp_tục ủng_hộ
3026,chuẩn bị và giao hàng nhanh đã đặt rất nhiều lần cả loại to lẫn nhỏ sản phẩm dịu nhẹ phù hợp vs da nhạy cảm ạ,2.0,,2.0,,,,chuẩn_bị và giao hàng nhanh đã đặt rất nhiều lần cả loại to lẫn nhỏ sản_phẩm dịu nhẹ phù_hợp vs da nhạy_cảm ạ
4807,giao hàng nhanh gói hàng cẩn thận rửa rửa mặt dịu nhẹ ổn định lần sau ủng hộ tiếp,1.0,,2.0,2.0,,,giao hàng nhanh gói hàng cẩn_thận rửa rửa mặt dịu nhẹ ổn_định lần sau ủng_hộ tiếp
4102,cái này là hàng tặng kèm theo nha hình ảnh và video chỉ mang tính chất nhận xu,,,,,,0.0,cái này là hàng tặng kèm theo nha hình_ảnh và video chỉ mang tính_chất nhận xu
9123,dùng cũng bình thường như các loại acnes khác,1.0,,,,,,dùng cũng bình_thường như các loại acnes khác
11336,"Dùng tẩy da chết quá ổn, hạt mịn, ko bị thô quá. Da mình là hỗn hợp thiên khô, mà dùng xong ko hề có cảm giác khô tý nào cả. Dùng khá nhiều loại giờ mới tìm đc tẩy da chết giá rẻ mà dùng ok như vậy",2.0,,,,2.0,,dùng tẩy da chết quá ổn hạt mịn ko bị thô quá da mình là hỗn_hợp thiên khô mà dùng xong ko hề có cảm_giác khô tý nào cả dùng khá nhiều loại giờ mới tìm đc tẩy da chết giá rẻ mà dùng ok như_vậy
12410,đặt hàng ở đây giao rất là thần tốc luôn nên mình đã mua ở shop mấy lần rồi lần nào cũng rất là ưng,,,2.0,,,,đặt_hàng ở đây giao rất là thần_tốc luôn nên mình đã mua ở shop mấy lần rồi lần nào cũng rất là ưng
5778,"Dùng thích lắm, chỉ dùng 1lượng nhỏ là có thể tạo được nhiều bọt dư cho cả mặt. Đóng gói kĩ, giao hàng nhanh.",2.0,,2.0,2.0,,,dùng thích lắm chỉ dùng 1lượng nhỏ là có_thể tạo được nhiều bọt dư cho cả mặt đóng_gói kĩ giao hàng nhanh
7556,đã mua hàng của shop nhiều lần giao nhanh đóng gói cẩn thận vòi pump đợt trc dễ bị chảy ra ngoài đợt này cải tiến có cái nút chặn ok phết,,,2.0,2.0,,0.0,đã mua hàng của shop nhiều lần giao nhanh đóng_gói cẩn_thận vòi pump đợt trc dễ bị chảy ra ngoài đợt này cải_tiến có cái nút chặn ok phết
4618,đã mua 1 lần và giờ quay lại mua nữa sản phẩm tốt đáng để mua giá rẻ,2.0,,,,2.0,,đã mua 1 lần và giờ quay lại mua nữa sản_phẩm tốt đáng để mua giá rẻ
2685,dùng từ loại nhỏ tới em này luôn rùi thích mê luôn nè da tui hỗn hợp thiên dầu dùng phù hợp lắm kiểu rửa mặt xong fresh hẳn với cảm thấy da mướt mịn đã thật sự hihi,2.0,,,,,,dùng từ_loại nhỏ tới em này luôn rùi thích mê luôn nè da tui hỗn_hợp thiên dầu dùng phù_hợp lắm kiểu rửa mặt xong fresh hẳn với cảm_thấy da mướt mịn đã thật_sự hihi
10949,chất lượng sp tuyệt vời sau khi rửa mặt cảm thấy da mềm mại k bị căng rít,2.0,,,,,,chất_lượng sp tuyệt_vời sau khi rửa mặt cảm_thấy da mềm_mại k bị căng rít
9824,"Da mình thuộc loại da nhạy cảm và có mụn, từ lâu đã kp dám sử dụng bất kỳ loại sửa rửa mặt nào vì cứ dùng là bị lên mụn và mẩn đỏ.
Mới đây có tham khảo và nghe bạn giới thiệu về Cetaphil dùng thử, thực sự kết quả bất ngờ. Da sạch, ko bị lên mụn và dị ứng sữa rửa mặt như trc kia nữa. Vote 5 sao cho sản phẩm sửa rửa mặt trị mụn này.
Tks Tiki",2.0,,,,,,da mình thuộc loại da nhạy_cảm và có mụn từ lâu đã kp dám sử_dụng bất_kỳ loại sửa rửa mặt nào vì cứ dùng là bị lên mụn và mẩn đỏ mới_đây có tham_khảo và nghe bạn giới_thiệu về cetaphil dùng thử thực_sự kết_quả bất_ngờ da sạch ko bị lên mụn và dị_ứng sữa rửa mặt như trc kia nữa vote 5 sao cho sản_phẩm sửa rửa mặt trị mụn này tks tiki
6916,đóng gói sản phẩm chắc chắn thời gian giao nhanh,,,2.0,2.0,,,đóng_gói sản_phẩm chắc_chắn thời_gian giao nhanh
911,đóng gói hàng nhanh cẩn thận tem đầy đủ mua hàng nhiều lần thấy yên tâm chai hơi nhỏ hic,,,2.0,2.0,,0.0,đóng_gói hàng nhanh cẩn_thận tem đầy_đủ mua hàng nhiều lần thấy yên_tâm chai hơi nhỏ hic
8223,chất lượng sản phẩm tuyệt vời giao hàng nhanh chóng đóng gói cẩn thận,2.0,,2.0,2.0,,,chất_lượng sản_phẩm tuyệt_vời giao hàng nhanh_chóng đóng_gói cẩn_thận
12828,"Làm sạch sâu, sạch nhờn",2.0,,,,,,làm sạch sâu sạch nhờn
14891,gel rửa mặt quốc dân dùng tẩy rửa nhẹ nhàng nhưng mùi hơi khó chịu chút còn lại mọi thứ ổn,2.0,0.0,,,,,gel rửa mặt quốc_dân dùng tẩy_rửa nhẹ_nhàng nhưng mùi hơi khó_chịu chút còn lại mọi thứ ổn
1345,"giao đúng hàng, hiệu quả hay không thì phải đợi thời gian mới biết . Cho 5sao luôn",,,2.0,,,,giao đúng hàng_hiệu quả hay không thì phải đợi thời_gian mới biết cho 5sao luôn
1444,"Tiki giao hàng sớm hơn ngày hẹn nữa.
Sản phẩm còn nguyên vẹn. Rửa mặt sạch mà rất dịu nhẹ",2.0,,2.0,,,,tiki giao hàng sớm hơn ngày hẹn nữa sản_phẩm còn nguyên_vẹn rửa mặt sạch mà rất dịu nhẹ
9375,"Trước khi hãng về Việt Nam, mình đã order bên Mỹ về dùng và rất thích rồi. Giờ đây sản phẩm này đã được phân phối chính thức tại Việt Nam, giá lại quá tốt nên mình rất vui. Tuy nhiên đây không phải sửa rửa mặt mà là một loại tẩy da chết dạng scrub. Vì vậy chỉ nên sử dụng 2-3 lần/tuần nếu ko sẽ khiến da bị tổn thương. Sản phẩm mùi thơm dễ chịu, tẩy da chết nhẹ nhàng cho da, sau khi sử dụng da sờ rất mịn. Hạt scrub của Stives chưa được thật sự nhỏ mịn nên mình dùng kiêm luôn tẩy da chết body, đặc biệt trong mùa đông, rất thích. Chai to, giá rẻ nên khá là tiết kiệm.",2.0,2.0,,,2.0,2.0,trước khi hãng về việt_nam mình đã order bên mỹ về dùng và rất thích rồi giờ_đây sản_phẩm này đã được phân_phối chính_thức tại việt_nam giá lại quá tốt nên mình rất vui tuy_nhiên đây không phải sửa rửa mặt mà là một loại tẩy da chết dạng scrub vì_vậy chỉ nên sử_dụng 2 3 lần tuần nếu ko sẽ khiến da bị tổn_thương sản_phẩm mùi thơm dễ_chịu tẩy da chết nhẹ_nhàng cho da sau khi sử_dụng da sờ rất mịn hạt scrub của stives chưa được thật_sự nhỏ mịn nên mình dùng kiêm luôn tẩy da chết body đặc_biệt trong mùa đông rất thích chai to giá rẻ nên khá là tiết_kiệm
3499,"giao hàng hơi lâu, còn lại k có j để chê",,,0.0,,,2.0,giao hàng hơi lâu còn lại k có j để chê
6890,đóng gói giao hàng nhanhsản phẩm đã dùng thấy hợp da hhtk,2.0,,2.0,2.0,,,đóng_gói giao hàng nhanhsản phẩm đã dùng thấy hợp da hhtk
5135,to bự.goi hang cân thân,,,,2.0,,,to bự goi hang cân thân
5848,bị móp méo bên trong chai bị ra gần hết,,,,,,0.0,bị móp méo bên trong chai bị ra gần hết
2422,đã mua rất nhiều lần rất ưng ý giao hàng nhanh tuyệt vời mọi người nên mua nhé,2.0,,2.0,,,,đã mua rất nhiều lần rất ưng_ý giao hàng nhanh tuyệt_vời mọi người nên mua nhé
14348,"Sửa Rửa Mặt ST.IVES Tươi Mát Da Hương Mơ (170g) có mùi rất thơm và dễ chịu đặc trưng của mơ. Khi dùng xong da mặt thấy rất nhẵn mịn và thoải mái. Tuy nhiên hạt massage của sữa rửa mặt lại hơi to nên mình thấy hơi rát khi rửa, bọt sữa hơi ít.",2.0,2.0,,,,0.0,sửa rửa mặt st ives tươi_mát da hương mơ 170g có mùi rất thơm và dễ_chịu đặc_trưng của mơ khi dùng xong da mặt thấy rất nhẵn mịn và thoải_mái tuy_nhiên hạt massage của sữa rửa mặt lại hơi to nên mình thấy hơi rát khi rửa bọt sữa hơi ít
2732,đóng gói rất chắc chắn giao hàng nhanh rất ok,,,2.0,2.0,,,đóng_gói rất chắc_chắn giao hàng nhanh rất ok
80,đóng gói hàng cẩn thận thời gian giao hàng siêu nhanh mới đặt hôm qua mà hôm nay đã nhận đc r săn sale nên đc giá rẻ ?,,,2.0,2.0,2.0,,đóng_gói hàng cẩn_thận thời_gian giao hàng siêu nhanh mới đặt hôm_qua mà hôm_nay đã nhận đc r săn sale nên đc giá rẻ
4217,đã nhận đc hàng mấy nay mà nay mới đánh giá shop đóng gói kỹ và giao hàng nhanh cảm ơn shop,,,2.0,2.0,,,đã nhận đc hàng mấy nay mà nay mới đánh_giá shop đóng_gói kỹ và giao hàng nhanh cảm_ơn shop
15098,dùng đến lần thứ 2 nhưng vẫn chưa hiểu cách sử dụng lắm làm sạch nhẹ nhàng và có độ ẩm,1.0,,,,,,dùng đến lần thứ 2 nhưng vẫn chưa hiểu cách sử_dụng lắm làm sạch nhẹ_nhàng và có độ_ẩm
10546,"bao bì mới mình mua đợt sale chai cũ vẫn còn 
dùng thích không bọt",,,,,,2.0,bao_bì mới mình mua đợt sale chai cũ vẫn còn dùng thích không bọt
13008,phù hợp theo yêu cầu về da,2.0,,,,,,phù_hợp theo yêu_cầu về da
4953,dùng nhiều tuýp như này rùi chất sữa dễ tạo bọt dùng khá thích,2.0,,,,,,dùng nhiều tuýp như này rùi chất sữa dễ tạo bọt dùng khá thích
12058,"chất lượng sản phẩm tốt
shop phục vụ tốt
đóng gói hàng ok",2.0,,,2.0,,2.0,chất_lượng sản_phẩm tốt shop phục_vụ tốt đóng_gói hàng ok
14127,"Dùng thích cực ý, êm dịu mềm mại mà lại đc nhiều , chính ra lại không hề đắt tí nào",2.0,,,,2.0,,dùng thích cực ý êm_dịu mềm_mại mà_lại đc nhiều chính ra lại không hề đắt tí nào
14692,đóng gói sản phẩm gọn gàng chắc chắn sửa rửa mặt dùng cực thích dịu nhẹ rửa rất sạch,2.0,,,2.0,,,đóng_gói sản_phẩm gọn_gàng chắc_chắn sửa rửa mặt dùng cực thích dịu nhẹ rửa rất sạch
