,Unnamed: 0,Content,quality,smell,shipping,packing,price,others
0,0,đóng gói chắc chắn sản phẩm ko gây kích ứng cảm thấy hài lòng khi sử dụng dòng sản phẩm này,Positive,,,Positive,,
1,1,hàng rất đẹp và dùng ổn,Neutral,,,,,Positive
2,2,"Bình thường tôi hay mua loại 125ml ngoài hiệu thuốc , rửa mặt da mềm mượt nhẹ nhàng, đặc biệt ko có bất kỳ mùi gì. Lần này mua loại 500ml ở tiki dùng cho lâu. Nào ngờ vừa xịt ra tay đưa lại gần thấy nồng mùi hăng của nhựa, rửa lên mặt xả nước xong bị khô da chứ ko mềm mượt. Da lòng bàn tay tiếp xúc với sữa rửa mặt cũng khô nhăn lại. Thời gian xoa sữa rửa mặt có 10s.",Negative,Negative,,,,
3,3,giá tốt. chất lượng. đẹp,Positive,,,,Positive,Positive
4,4,"Chất lượng sản phẩm chưa sử dụng nên chưa đánh giá được! Tuy nhiên đề nghị Tiki kiểm tra lại quy trình đóng gói, vận chuyển , bảo quản giúp. Có dấu hiệu chuột hay loài nào đó gặm nhấm cả bao bì đóng gói lẫn bao bì sản phẩm. Lần thứ hai muôn hàng trên Tiki có vấn đề đóng gói sản phẩm. Nhìn rất mất cảm tình.",Neutral,,,Negative,,
5,5,date xa và mua ở mall nên khá yên tâm hi vọng là hàng real đóng gói sản phẩm ok k bị bung ra như review mìh săn sale nên đc giá khá hợp lí,,,,Positive,,Positive
6,6,đóng gói như không đóng sữa rữa mặt chai thì bẩn đã bị khui từ trước,,,,Negative,,Negative
7,7,đồ tặng kèm rất nhiều luôn còn mua được giá sale kaka,,,,,Positive,Positive
8,8,chai 400ml khá to loại này giá hơi cao hơn các loại khác nhưng công dụng thì khỏi bàn cãi shop đóng gói ổn giao hàng nhanh,,,Positive,Positive,Negative,
9,9,đã dùng sữa rửa mặt này nhiều rồi sau khi dùng thấy da nhẹ căng mướt hơn đặc biệt kiềm dầu tốt shop tư vấn nhiệt tình,Positive,,,,,
10,10,chất lượng phù hợp với giá tiền from đẹp nha ảnh mang tính chất minh hoạb,Positive,,,,Positive,
11,11,chất lượng rất tốt làm cho khách hàng hài lòng về sản phẩm…,Positive,,,,,
12,12,dùng cũng được nhiều bọt mà mùi hơi hắc nhe mn ơiiii phù hợp giá tiền,Neutral,Negative,,,Neutral,
13,13,dùng nhiều lần rồi êm lắm nha mn ko gây kích ứng phù hợp da cực nhạy cảm mua mall đc tặng ví son serum tóc đủ thứ hết trơn quá trời thích,Positive,,,,,
14,14,đóng gói cẩn thận chuẩn bị hàng nhanh srm phù hợp với da k bị khô da dịu nhẹ,Positive,,Positive,Positive,,
15,15,"Lúc đặt mua chủ yếu vì giá rẻ và đã dùng sản phẩm của 3W nên cũng yên tâm. Bản thân dùng thấy ổn, sạch.",Neutral,,,,Positive,
16,16,"đánh giá tạm được, chưa happy với sản phẩm này",Neutral,,,,,
17,17,"Dùng tốt, không gây dị ứng, giá rẻ hơn ở ngoài",Positive,,,,Positive,
18,18,đóng gói rất là kỹ lưỡng phải nói là sản phẩm rất tuyệt mãi ủng hộ shop nha,,,,Positive,,
19,19,"chất lượng sản phẩm tuyệt vời, đóng gói chắc chắn, sản phẩm như hình",,,,Positive,,Positive
20,20,đóng gói sản phẩm cẩn thận chắc chắn,,,,Positive,,
