content,rating
"Tiki có thù với vỏ niêm phong hay gì, sao lần nào mua hàng cũng không có vỏ niêm phong lại. May mà cái srm này kết cấu đặc, không đổ nhiều lắm, gặp những sản phẩm lỏng hơn thì nó đổ hết cả rồi. Chán không tả được, cứ mua hàng do tiki trading phân phối là gặp tình trạng này.",5
,5
Oke. Ít bọt. Chất kem đặc. Tác dụng chống lão hóa thì không chắc chắn. Đóng gói cồng kềnh dã man lun tiki ạ.,5
"Sản phẩm không có vấn đề gì ngoại trừ nắp không màng co, tem, hay miếng nhôm nhỏ dán chổ miệng chai.",5
Giao hàng nhanh 🥰 chưa sử dụng nên k biết hiệu quả ra sao. Một thời gian nữa sẽ feedback lại ak 😂,5
"Mua nhiều lần rồi, rất yên tâm về chất lượng. Mua trên tiki trading nên rất yên tâm, đóng gói sp kĩ càng, sẽ ủng hộ lần sau ❤️❤️❤️❤️❤️❤️❤️❤️❤️",5
"Dòng sữa rửa mặt Hada Labo này phù hợp cho những bạn đôn tuổi 25 trở đi, vì độ này da bắt đầu lão hoá ấy, nên sử dụng những sản phẩm chứa collagen để chống lão hoá da, mình còn kết hợp sử dụng kem nữa ?rất thích ạ",5
"Giao nhanh, đóng gói kĩ ko bị chảy đổ. Sản phẩm có thương hiệu nên sử dụng rất an tâm. Date xa nha mọi người,",5
"dùng da rất nhẹ, bọt dễ đánh tan và mềm mịn . không mất nước như các dòng srm khác , ko khô da sau rửa. sẽ trung thành với sp",5
"dùng hadalabo lâu rồi nên yên tâm lắm, quà tặng siêu đáng yêu luôn, cảm ơn tiki rất nhiều luôn ạ",5
"mua đồng bộ sản phẩn luôn, Mama rất ưng tinh chất và dung dịch dưỡng cũng như kem dưỡng nên mua sữa rửa mặt luôn thể",5
"Sua rua mat phu hop cho da lao hoa, theo cong nghe nhat ban nen minh yen tam lam",5
"Sữa rửa mặt mình thường dùng, mua trên tiki cùng với các sản phẩm mỹ phẩm khác nên đc giảm giá khá ok. Đóng gói cẩn thận, giao hàng nhanh chóng.",5
Dùng hada labo có tác dụng chậm. Nhưng về lâu dài thì không biết thế nào,5
"Mình đã mua rất nhiều sản phẩm trên tiki, tất cả các sản phẩm mình dùng phần mềm scan mã vạch đều check được nên khá yên tâm. Nhưng sản phẩm này mình không check được đã thử nhiều phần mềm, yêu cầu tiki giải thích để mình có thể yên tâm mua sản phẩm.",5
"Mình mua cái này cho mẹ. Mẹ xài xong 1 bình, cảm thấy tốt nên bảo mình mua thêm 1 tuýp nữa đây >< Mua trên tiki cũng rẻ hơn ở ngoài 1 xíu nữa, cộng thêm được giao hàng tận nhà mà chú shipper lúc nào cũng vui vẻ, gần gũi hết nên thích lắm ạ. Xứng đáng 5*",5
"Xài biết bao nhiêu tuýp rồi, và e ấy là chân ái, làm sạch tốt ko bị khô căng, ko bị kích ứng. Rửa xong da rất ẩm mịn.",5
"mùi hơi khó chịu, được cái ko có cồn hay hương liệu nên chấp nhận được",5
"Dễ chịu, nhiều bọt",5
"Sản phẩm có chất lượng tốt, được giao nhanh chóng. Nhân viên giao hàng thân thiện.",5
"sản phẩm đóng gói rất gọn , mình thích xài thương hiệu này",5
Hàng rất tốt đó h mới biết luôn á..phải chi biết sớm hơn sản phẩm này,5
"Sữa rửa mặt okie, mặt có độ ẩm ngay sau khi rửa xong.",5
cái này ko bị khô da...m đã dùng khoảng 5.6 lọ rồi,5
giao hang nhanh chua xai chua biet chat luong,5
"THƯƠNG HIỆU NÀY RẤT TỐT
GIÁ TỐT ,ĐÁNG MUA.HÌNH CHỈ MINH HỌA",5
"mua cho mẹ mà mẹ khen quá trời, bảo mẹ mua chuẩn shop uy tín mà đc giá ok quá",5
"Check mã các thứ đều rất ok, chắc chắn hàng thật, data mới, mình mua cho mẹ thấy dùng cũng rất được luôn. Giờ viết đánh giá lười xuống nhà lấy srm chụp lắm nên thuii",5
Không bị khô dau sau khi dùng. Ok,5
"Sản phẩm tốt, mẹ mình sd khen lắm luôn. Shop gói hàng cẩn thận.",5
Làm sạch da mà k bị khô nhưng mùi nồng,5
"đặt mua hôm thứ 7, chủ nhật đã giao hàng. tiki quá xuất sắc",5
Giao hàng nhanh.sp ok,5
"Gói hàng chắc chắn. Hàng mới, HSD dài",5
Rửa sạch nhưng chống lão hoá thì không biết,5
"Giao hàng nhanh, đóng gói đẹp, chất lượng tốt!",5
Sp ok đóng gói cẩn thận,5
"mới xài mấy hôm nên ko biết da có săn chắc hơn chút nào không, rửa sạch là được rồi",5
